trial_number,stim_type,tone,intensity,expectation,prob_hightone_sad,gender,block_index,response_duration,predict_response_time,predict_response,predict_result,response_response_time,response_response,response_result,reward
49,sad,low,high,0,0.8,F,1,0.8,0.1028000000007978,angry,0,0.0187999999969861,angry,0,-50
50,sad,high,low,1,0.8,M,1,0.8,0.3026999999992767,angry,0,0.0153999999985217,angry,0,-50
51,angry,high,high,0,0.2,F,2,0.8,1.9706000000014685,sad,0,0.0471999999992931,sad,0,-50
52,sad,low,low,0,0.2,F,2,0.8,0.8576000000014119,sad,1,0.0471000000014782,sad,1,69
53,angry,high,high,0,0.2,F,2,0.8,0.0536000000014382,angry,1,0.0821999999992613,angry,1,65
54,sad,low,high,0,0.2,M,2,0.8,0.1354000000022779,angry,0,0.0708000000007587,angry,0,-50
55,angry,high,low,0,0.2,M,2,0.8,0.6196000000014692,angry,1,0.153600000001461,angry,1,54
56,sad,low,high,0,0.2,M,2,0.8,0.2683000000007496,angry,0,0.4195999999977857,angry,0,-50
57,angry,high,low,0,0.2,F,2,0.8,1.2186000000015156,sad,0,0.0628999999985353,sad,0,-50
58,angry,high,high,0,0.2,M,2,0.8,0.1233000000006541,angry,1,0.0709000000022115,angry,1,65
59,sad,low,high,0,0.2,F,2,0.8,0.1181999999992058,sad,1,0.0378000000007432,sad,1,69
60,angry,high,high,0,0.2,F,2,0.8,0.1346000000014555,angry,1,0.072399999998538,angry,1,65
61,angry,low,low,1,0.2,M,2,0.8,0.0078000000007705,sad,0,0.0380000000000109,sad,0,-50
62,sad,low,low,0,0.2,F,2,0.8,0.2853000000008023,angry,0,0.0386000000015656,angry,0,-50
63,angry,high,high,0,0.2,M,2,0.8,0.4349000000022442,angry,1,0.0744000000022424,angry,1,65
64,sad,low,high,0,0.2,F,2,0.8,0.0581000000015592,sad,1,0.0583000000007132,sad,1,67
65,sad,high,low,1,0.2,M,2,0.8,0.0678999999985308,angry,0,0.0579999999999927,angry,0,-50
66,sad,low,low,0,0.2,M,2,0.8,0.6476000000014892,angry,0,0.1545999999976857,angry,0,-50
67,angry,high,high,0,0.2,F,2,0.8,0.5029999999999291,sad,0,0.1207999999969615,sad,0,-50
68,angry,low,low,1,0.2,F,2,0.8,1.0189000000023043,angry,1,0.1481999999991785,angry,1,56
